timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, yaw, pitch
124083, -1.6412166357040405, -1.3000084161758423, -0.10185220837593079, 0.14875899255275726, -1.7417140007019043, -1.4719743728637695, 0.0, 0.0, 0.0, 0.0, 7.100018501281738, 4.576639652252197
124102, -1.6405954360961914, -1.3066511154174805, -0.06830979883670807, 0.1551828235387802, -1.8053481578826904, -1.2106420993804932, 0.0, 0.0, 0.0, 0.0, 7.181558609008789, 4.577957630157471
124122, -1.640714406967163, -1.3042457103729248, -0.09192121028900146, 0.15161782503128052, -1.7553439140319824, -1.3388946056365967, 0.0, 0.0, 0.0, 0.0, 7.20612907409668, 4.605874061584473
124142, -1.6404931545257568, -1.306013584136963, -0.06478270143270493, 0.15460704267024994, -1.7852401733398438, -1.1304751634597778, 0.0, 0.0, 0.0, 0.0, 7.239339351654053, 4.59391975402832
124162, -1.6409763097763062, -1.299246907234192, -0.08517935127019882, 0.14869464933872223, -1.7036986351013184, -1.2460404634475708, 0.0, 0.0, 0.0, 0.0, 7.31698751449585, 4.5874247550964355
124185, -1.6407830715179443, -1.3005129098892212, -0.05899588763713837, 0.15187899768352509, -1.7347627878189087, -1.0513808727264404, 0.0, 0.0, 0.0, 0.0, 7.318211078643799, 4.635653972625732
124202, -1.6402584314346313, -1.3054100275039673, -0.08152715116739273, 0.15325312316417694, -1.733215093612671, -1.1777955293655396, 0.0, 0.0, 0.0, 0.0, 7.3843159675598145, 4.6256256103515625
124222, -1.6403181552886963, -1.3036906719207764, -0.05558018386363983, 0.15500767529010773, -1.7488377094268799, -0.9946863055229187, 0.0, 0.0, 0.0, 0.0, 7.393981456756592, 4.650935649871826
124242, -1.6404582262039185, -1.3012213706970215, -0.0760311633348465, 0.15264660120010376, -1.7121739387512207, -1.1232967376708984, 0.0, 0.0, 0.0, 0.0, 7.474362850189209, 4.615853309631348
124263, -1.6412276029586792, -1.291867971420288, -0.04319470375776291, 0.151521235704422, -1.6969225406646729, -0.8963659405708313, 0.0, 0.0, 0.0, 0.0, 7.463978290557861, 4.668956279754639
124283, -1.6413722038269043, -1.2892117500305176, -0.06197642907500267, 0.14912010729312897, -1.6546732187271118, -1.0287041664123535, 0.0, 0.0, 0.0, 0.0, 7.5349225997924805, 4.635803699493408
124303, -1.641054391860962, -1.2916195392608643, -0.04099397361278534, 0.15347975492477417, -1.6947296857833862, -0.8652306795120239, 0.0, 0.0, 0.0, 0.0, 7.526115894317627, 4.691574573516846
124322, -1.6407361030578613, -1.294063925743103, -0.059515539556741714, 0.15326206386089325, -1.6798871755599976, -0.9911718368530273, 0.0, 0.0, 0.0, 0.0, 7.578425884246826, 4.681841850280762
124342, -1.641737461090088, -1.2820498943328857, -0.07814019918441772, 0.14610010385513306, -1.5948859453201294, -1.1122928857803345, 0.0, 0.0, 0.0, 0.0, 7.594419479370117, 4.692763328552246
